Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
GRE,Scrypt,PoW,4610340641.0,10000000000.0
XCN,M7 POW,PoW,708506520.0,1840000000.0
MSC,Scrypt,PoW,619478.0,619478.0
SOON,SHA-256,PoW,12462620.0,21000000.0
1CR,Scrypt,PoW,88213.0,92000000000.0
ISL,X11,PoW/PoS,1513704.0,0.0
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0
MARS,X11,PoW,32221574.82,33000000.0
CTO,Lyra2RE,PoW,13742738.0,65789100.0
ACP,SHA-256,PoW,14747200.0,53760000.0
DRZ,QUAIT,PoW/PoS,8568038.359,5060000.0
BSC,X11,PoW,15863837.5,21000000.0
SQL,X11,PoS/PoW,329200.0164,0.0
SONG,Scrypt,PoW,32565300.0,210240000.0
ZNY,Scrypt,PoW,75614500.0,250000000.0
DIGS,Scrypt,PoS,100000000.0,100000000.0
EXP,Ethash,PoW,10495278.0,16906397.0
CON,X13,PoW/PoS,23042604.0,50000000.0
SC,Blake2b,PoW,33098296530.0,0.0
EMC,SHA-256,PoW/PoS,43059794.8,1000000000.0
EGC,X15,PoW/PoS,13530556.42,26298000.0
MND,X11,PoW,15867695.0,16000000.0
I0C,SHA-256,PoW,20997476.87,21000000.0
DCR,BLAKE256,PoW/PoS,10365046.93,21000000.0
RVR,Scrypt,PoW,210000000.0,210000000.0
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0
EDRC,SHA-256,PoW/PoS,3669691.845,22000000.0
HTC,X11,PoW/PoS,10996318099.0,26550000000.0
GAME,Scrypt,PoW,69836100.0,84000000.0
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0
DIEM,SHA-256,PoW,21739971929.0,21626280000.0
PWR,NIST5,PoW/PoS,10069449032.0,0.0
BLRY,Scrypt,PoW/PoS,8998743.241,42000000.0
GPU,Scrypt,PoS,40477042.0,221052632.0
ADZ,X11,PoW,45110324.0,84000000.0
SOIL,Dagger,PoW,5702048.0,30000000.0
YOC,Scrypt,PoW,636462.5598,168351300.0
SIB,X11GOST,PoW,17263355.0,24000000.0
ERC,X11,PoW/PoS,10407269.79,384000000.0
ZEIT,Scrypt,PoS,36971236047.0,99000000000.0
SWING,SHA-256,PoW/PoS,4377081.61,40000000.0
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0
NEBU,PoS,PoS,20000000.0,20000000.0
FRN,Scrypt,PoW,6570807.657,20000000.0
BOLI,X11,PoW,13654082.5,25000000.0
XRA,X11,PoW/PoS,134554941.2,75000000.0
